Pod_name,Job_name,Job_submit,Pod_create,Pod_start,Pod_end,Pod_wait_create,Pod_wait_run,Pod_wait_total,Pod_running_time,Pod_total_time,Running node,Requests_memory,Limits_memory,Requests_cpu,Limits_cpu,Requests_gpu,Limits_gpu
default-job-3-test-gpu-4,job-3,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:29,0.0,0.0,0.0,89.0,89.0,k8s24-74,2,2100m,4Gi,4608Mi,1,1
default-job-4-test-gpu-0,job-4,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:41,0.0,0.0,0.0,101.0,101.0,k8s23-74,2500m,2600m,6Gi,6656Mi,1,1
default-job-4-test-gpu-1,job-4,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:43,0.0,0.0,0.0,103.0,103.0,k8s20-74,2500m,2600m,6Gi,6656Mi,1,1
default-job-4-test-gpu-2,job-4,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:41,0.0,0.0,0.0,101.0,101.0,k8s21-74,2500m,2600m,6Gi,6656Mi,1,1
default-job-4-test-gpu-3,job-4,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:42,0.0,0.0,0.0,102.0,102.0,k8s24-74,2500m,2600m,6Gi,6656Mi,1,1
default-job-4-test-gpu-4,job-4,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:45,0.0,0.0,0.0,105.0,105.0,k8s20-74,2500m,2600m,6Gi,6656Mi,1,1
default-job-5-test-gpu-0,job-5,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:08,0.0,0.0,0.0,128.0,128.0,k8s22-74,3,3100m,8Gi,8704Mi,1,1
default-job-5-test-gpu-1,job-5,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:02,0.0,0.0,0.0,122.0,122.0,k8s23-74,3,3100m,8Gi,8704Mi,1,1
default-job-5-test-gpu-2,job-5,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:01,0.0,0.0,0.0,121.0,121.0,k8s21-74,3,3100m,8Gi,8704Mi,1,1
default-job-5-test-gpu-3,job-5,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:07,0.0,0.0,0.0,127.0,127.0,k8s24-74,3,3100m,8Gi,8704Mi,1,1
default-job-5-test-gpu-4,job-5,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:07,0.0,0.0,0.0,127.0,127.0,k8s22-74,3,3100m,8Gi,8704Mi,1,1
default-job-6-test-gpu-0,job-6,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:20,0.0,0.0,0.0,140.0,140.0,k8s24-74,3500m,3600m,10Gi,10752Mi,1,1
default-job-6-test-gpu-1,job-6,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:23,0.0,0.0,0.0,143.0,143.0,k8s20-74,3500m,3600m,10Gi,10752Mi,1,1
default-job-6-test-gpu-2,job-6,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:22,0.0,0.0,0.0,142.0,142.0,k8s22-74,3500m,3600m,10Gi,10752Mi,1,1
default-job-6-test-gpu-3,job-6,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:25,0.0,0.0,0.0,145.0,145.0,k8s20-74,3500m,3600m,10Gi,10752Mi,1,1
default-job-6-test-gpu-4,job-6,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:19,0.0,0.0,0.0,139.0,139.0,k8s23-74,3500m,3600m,10Gi,10752Mi,1,1
default-job-7-test-gpu-0,job-7,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:37,0.0,0.0,0.0,157.0,157.0,k8s22-74,4,4100m,12Gi,12800Mi,1,1
default-job-7-test-gpu-1,job-7,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:39,0.0,0.0,0.0,159.0,159.0,k8s23-74,4,4100m,12Gi,12800Mi,1,1
default-job-7-test-gpu-2,job-7,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:38,0.0,0.0,0.0,158.0,158.0,k8s21-74,4,4100m,12Gi,12800Mi,1,1
default-job-7-test-gpu-3,job-7,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:42,0.0,0.0,0.0,162.0,162.0,k8s24-74,4,4100m,12Gi,12800Mi,1,1
default-job-7-test-gpu-4,job-7,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:02:40,0.0,0.0,0.0,160.0,160.0,k8s20-74,4,4100m,12Gi,12800Mi,1,1
